#Data contains: GPS time of week of the navigation epoch (ms),UTC [year:month:day:minute:second],fix Type[0-5],longitude[deg],latitude[deg],height[mm],rising edge sync signal,Temp[°C]#,height[m]
205338800,2021:03:16:09:02:00,3,11.3832027,47.3122392,2320559,0,6.0,2320.559
205338900,2021:03:16:09:02:00,3,11.3832027,47.3122392,2320567,0,6.0,2320.567
205339000,2021:03:16:09:02:01,3,11.3832027,47.3122393,2320582,0,6.0,2320.582
205339100,2021:03:16:09:02:01,3,11.3832027,47.3122393,2320579,0,6.0,2320.579
205339200,2021:03:16:09:02:01,3,11.3832027,47.3122394,2320576,0,6.0,2320.576
205339300,2021:03:16:09:02:01,3,11.3832026,47.3122395,2320571,0,6.0,2320.571
205339400,2021:03:16:09:02:01,3,11.3832025,47.3122395,2320552,0,6.0,2320.552
205339500,2021:03:16:09:02:01,3,11.3832025,47.3122395,2320563,0,6.0,2320.563
205339600,2021:03:16:09:02:01,3,11.3832026,47.3122396,2320562,1,6.0,2320.562
205339700,2021:03:16:09:02:01,3,11.3832026,47.3122397,2320573,1,6.0,2320.573
205339800,2021:03:16:09:02:01,3,11.3832026,47.3122397,2320563,1,6.0,2320.563
205339900,2021:03:16:09:02:01,3,11.3832026,47.3122398,2320574,1,6.0,2320.574
205340000,2021:03:16:09:02:02,3,11.3832025,47.3122398,2320578,1,6.0,2320.578
205340100,2021:03:16:09:02:02,3,11.3832025,47.3122398,2320571,1,6.0,2320.571
205340200,2021:03:16:09:02:02,3,11.3832024,47.3122399,2320560,1,6.0,2320.56
205340300,2021:03:16:09:02:02,3,11.3832024,47.3122399,2320570,1,6.0,2320.57
205340400,2021:03:16:09:02:02,3,11.3832023,47.3122399,2320557,1,6.0,2320.557
205340500,2021:03:16:09:02:02,3,11.3832022,47.31224,2320578,1,6.0,2320.578
205340600,2021:03:16:09:02:02,3,11.3832022,47.3122401,2320559,0,6.0,2320.559
205340700,2021:03:16:09:02:02,3,11.3832022,47.3122401,2320553,0,6.0,2320.553
205340800,2021:03:16:09:02:02,3,11.3832022,47.3122401,2320559,0,6.0,2320.559
205340900,2021:03:16:09:02:02,3,11.3832023,47.3122403,2320578,0,6.0,2320.578
205341000,2021:03:16:09:02:03,3,11.3832022,47.3122404,2320574,0,6.0,2320.574
205341100,2021:03:16:09:02:03,3,11.3832021,47.3122405,2320568,0,6.0,2320.568
205341200,2021:03:16:09:02:03,3,11.3832022,47.3122405,2320585,0,6.0,2320.585
